"num";"date";"year";"title";"url";"tag";"speaker";"content"
"63";"13 лютага 2026";"2026";"Аб сустрэчы Пасла Беларусі С.Маліноўскага з Міністрам урада Сербіі";"https://www.mfa.gov.by/be/press/news_mfa/e1f2efa8d123e0fe.html";"";"";""
"64";"13 лютага 2026";"2026";"Аб уступленні ў сілу для Беларусі Канвенцыі аб заснаванні Міжнароднай арганізацыі па медыяцыі";"https://www.mfa.gov.by/be/press/news_mfa/ea46cb96321187e5.html";"";"";""
"65";"13 лютага 2026";"2026";"Аб сустрэчах Пасла Беларусі Я.Сабалеўскага ў Амане";"https://www.mfa.gov.by/be/press/news_mfa/a6621985860844f5.html";"";"";""
"66";"12 лютага 2026";"2026";"Адказ прэс-сакратара МЗС Беларусі Р.Варанкова на пытанне інфармацыйнага агенцтва &laquo;РІА Навіны&raquo;";"https://www.mfa.gov.by/be/press/news_mfa/d08ab8231c0d384c.html";"";"";""
"67";"12 лютага 2026";"2026";"Аб сустрэчы Пасла Беларусі Ю.Ярашэвіча з першым намеснікам Генеральнага дырэктара МЗС Ізраіля";"https://www.mfa.gov.by/be/press/news_mfa/e91a439b33ccde0d.html";"";"";""
"68";"11 лютага 2026";"2026";"Аб сустрэчы Пасла Беларусі М.Рагашчука з Міністрам рэгіянальнага развіцця Грузіі";"https://www.mfa.gov.by/be/press/news_mfa/ab5774fd82176e42.html";"";"";""
"69";"11 лютага 2026";"2026";"Аб сустрэчы Першага намесніка Міністра замежных спраў Беларусі С.Лукашэвіча з Пастаянным прадстаўніком Расіі пры статутных і іншых органах СНД";"https://www.mfa.gov.by/be/press/news_mfa/e62bcf174fc95151.html";"";"";""
"70";"10 лютага 2026";"2026";"Аб уручэнні Паслом Беларусі Я.Сабалеўскім даверчых лістоў Султану Амана";"https://www.mfa.gov.by/be/press/news_mfa/c46a6ac90f095c48.html";"";"";""
"71";"09 лютага 2026";"2026";"Аб удзеле Пасла Беларусі ў Індыі М.Касько ў першым пасяджэнні шэрпаў/су-шэрпаў БРІКС у Дэлі";"https://www.mfa.gov.by/be/press/news_mfa/c3a7217fe740f716.html";"";"";""
"72";"09 лютага 2026";"2026";"Аб сустрэчы Пасла Беларусі А.Андрэева з Прэзідэнтам Бразіліі";"https://www.mfa.gov.by/be/press/news_mfa/ef3ec8b624ac7d2b.html";"";"";""
"73";"05 лютага 2026";"2026";"Заява Міністэрства замежных спраў Рэспублікі Беларусь у сувязі з сітуацыяй вакол Кубы";"https://www.mfa.gov.by/be/press/news_mfa/dd9e18e23bace0c0.html";"";"";""
"74";"05 лютага 2026";"2026";"Аб сустрэчы Пасла Беларусі Д.Дзеравінскага з намеснікам Міністра замежных спраў Венесуэлы";"https://www.mfa.gov.by/be/press/news_mfa/e7af5e601f135f44.html";"";"";""
"75";"04 лютага 2026";"2026";"Аб удзеле Першага намесніка Міністра замежных спраў Беларусі С.Лукашэвіча ў семінары па Паўднёва-Усходняй Азіі";"https://www.mfa.gov.by/be/press/news_mfa/ceea5d4c985c975b.html";"";"";""
"76";"04 лютага 2026";"2026";"Аб сустрэчах Пасла Беларусі М.Касько з Міністрам замежных спраў і намеснікам Міністра партоў і грамадзянскай авіяцыі Шры-Ланкі";"https://www.mfa.gov.by/be/press/news_mfa/ef5b00894c85fcd5.html";"";"";""
"77";"03 лютага 2026";"2026";"Аб сустрэчы Першага намесніка Міністра замежных спраў Беларусі С.Лукашэвіча з намеснікам Міністра замежных спраў Мальдываў";"https://www.mfa.gov.by/be/press/news_mfa/e2f1c143c29e774b.html";"";"";""
"78";"03 лютага 2026";"2026";"Сумесная заява Беларусі, Ірана, КНДР, М'янмы і Расіі &laquo;На шляху да Еўразійскай хартыі разнастайнасці і шматпалярнасці ў XXI стагоддзі&raquo;";"https://www.mfa.gov.by/be/press/news_mfa/e3dc234cc2f11c33.html";"";"";""
"79";"30 студзеня 2026";"2026";"Аб сустрэчах Генеральнага консула Беларусі Т.Харлап з кіраўніцтвам рэгіянальнага прадстаўніцтва МЗС Кітая і Урада Ганконга";"https://www.mfa.gov.by/be/press/news_mfa/c545641fadc48b14.html";"";"";""
"80";"30 студзеня 2026";"2026";"Аб сустрэчы Пасла Беларусі Д.Піневіча з Міністрам культуры Азербайджана";"https://www.mfa.gov.by/be/press/news_mfa/aa5e07bd8c5a195d.html";"";"";""
"81";"28 студзеня 2026";"2026";"Аб удзеле намесніка Міністра замежных спраў Беларусі І.Сякрэты ў мерапрыемстве з нагоды Міжнароднага дня мірнага суіснавання";"https://www.mfa.gov.by/be/press/news_mfa/b652c336a1c4271e.html";"";"";""
"82";"28 студзеня 2026";"2026";"Аб сустрэчы Пасла Беларусі М.Касько з намеснікам Міністра фінансаў Індыі";"https://www.mfa.gov.by/be/press/news_mfa/fc6e31c7ebfbb874.html";"";"";""
"83";"28 студзеня 2026";"2026";"Аб пасяджэнні Камісіі па знешнепалітычным суправаджэнні гістарычнай палітыкі";"https://www.mfa.gov.by/be/press/news_mfa/af6a582fbf8f3ba0.html";"";"";""
"84";"28 студзеня 2026";"2026";"Аб сустрэчы намесніка Міністра замежных спраў Беларусі І.Сякрэты з Генеральным сакратаром Асамблеі Народаў Свету";"https://www.mfa.gov.by/be/press/news_mfa/fc46ebb0f6abe736.html";"";"";""
"85";"28 студзеня 2026";"2026";"Аб уручэнні Першаму намесніку Міністра замежных спраў Беларусі С.Лукашэвічу копій даверчых лістоў Паслом Палесціны";"https://www.mfa.gov.by/be/press/news_mfa/caaa99e745dfe0b0.html";"";"";""
"86";"27 студзеня 2026";"2026";"Аб уручэнні Паслом Беларусі Ю.Селівёрставым копій даверчых лістоў намесніку Міністра замежных спраў Расіі";"https://www.mfa.gov.by/be/press/news_mfa/a16a0e3ab467761e.html";"";"";""
"87";"27 студзеня 2026";"2026";"Аб сустрэчы Пасла Беларусі ў Ізраілі Ю.Ярашэвіча з Патрыярхам Феафілам III";"https://www.mfa.gov.by/be/press/news_mfa/eafc61aa933fafd5.html";"";"";""
"88";"27 студзеня 2026";"2026";"Аб уручэнні Паслом Беларусі Д.Дзеравінскім даверчых лістоў Прэзідэнту Эквадора";"https://www.mfa.gov.by/be/press/news_mfa/ac74f032ad238ebf.html";"";"";""
"89";"26 студзеня 2026";"2026";"Аб уручэнні Паслу Беларусі Д.Гарэліку найвышэйшай дзяржаўнай узнагароды Манголіі – медаля &laquo;Дружба&raquo;";"https://www.mfa.gov.by/be/press/news_mfa/b606cabeedd2a7b2.html";"";"";""
"90";"26 студзеня 2026";"2026";"Аб сустрэчы Пасла Беларусі Д.Дзеравінскага з сектаральным Віцэ-прэзідэнтам – Міністрам навукі і тэхналогій Венесуэлы";"https://www.mfa.gov.by/be/press/news_mfa/e54b6b343b0a2af9.html";"";"";""
"91";"23 студзеня 2026";"2026";"Аб сустрэчы Пастаяннага прадстаўніка Беларусі ў Жэневе Л.Бельскай са Спецыяльным прадстаўніком Генеральнага сакратара ААН па пытаннях зніжэння рызыкі бедстваў";"https://www.mfa.gov.by/be/press/news_mfa/a55eb221f4f4f1cf.html";"";"";""
"92";"23 студзеня 2026";"2026";"Аб адкрыцці ў МЗС мемарыяльнай дошкі ў памяць пра ветэранаў Вялікай Айчыннай вайны – супрацоўніках знешнепалітычнага ведамства";"https://www.mfa.gov.by/be/press/news_mfa/d4b2282e6a123399.html";"";"";""
"93";"23 студзеня 2026";"2026";"Аб сустрэчы Першага намесніка Міністра замежных спраў Беларусі C.Лукашэвіча з Паслом Індыі";"https://www.mfa.gov.by/be/press/news_mfa/afc4cb4915723e34.html";"";"";""
"94";"22 студзеня 2026";"2026";"Аб тэлефоннай размове Міністра замежных спраў Беларусі М.Рыжанкова з Міністрам замежных спраў Расіі";"https://www.mfa.gov.by/be/press/news_mfa/bfb4714ca1baa56f.html";"";"";""
"95";"20 студзеня 2026";"2026";"Выступ Пастаяннага прадстаўніка Беларусі Л.Бельскай на пленарным пасяджэнні Канферэнцыі па раззбраенні (20 студзеня 2026 г., г.Жэнева)";"https://www.mfa.gov.by/be/press/news_mfa/d9e2ea9f45e6748a.html";"";"";""
"96";"20 студзеня 2026";"2026";"Аб сустрэчы Пасла Беларусі Д.Дзеравінскага з Міністрам знешняга гандлю Венесуэлы";"https://www.mfa.gov.by/be/press/news_mfa/bd3d341a73dd0e36.html";"";"";""
"97";"20 студзеня 2026";"2026";"Аб сустрэчы Пасла Беларусі І.Белага са Спікерам Федэральнага нацыянальнага савета ААЭ";"https://www.mfa.gov.by/be/press/news_mfa/ec8ceb260086d133.html";"";"";""
"98";"20 студзеня 2026";"2026";"Аб уручэнні Першаму намесніку Міністра замежных спраў Беларусі С.Лукашэвічу копій даверчых лістоў Паслом Танзаніі";"https://www.mfa.gov.by/be/press/news_mfa/fc702531f87568c6.html";"";"";""
"99";"20 студзеня 2026";"2026";"Аб падпісанні Плана сумесных мерапрыемстваў на 2026 год па рэалізацыі Рамачнай праграмы супрацоўніцтва ААН і Беларусі";"https://www.mfa.gov.by/be/press/news_mfa/f30d79f457218758.html";"";"";""
"100";"19 студзеня 2026";"2026";"Аб уручэнні Пастаянным прадстаўніком Беларусі Ю.Амбразевічам даверчых лістоў Выканаўчаму дырэктару СХП ААН";"https://www.mfa.gov.by/be/press/news_mfa/d903f59496226516.html";"";"";""
"101";"19 студзеня 2026";"2026";"Заява прэс-сакратара Міністэрства замежных спраў Беларусі Р.Варанкова адносна звароту Прэзідэнта ЗША ў адрас А.Р.Лукашэнкі";"https://www.mfa.gov.by/be/press/news_mfa/d8495d6d9dd05315.html";"";"";""
"102";"19 студзеня 2026";"2026";"Заява Міністэрства замежных спраў Беларусі ў сувязі з чыгуначнай аварыяй у Іспаніі";"https://www.mfa.gov.by/be/press/news_mfa/c757cd45c3192960.html";"";"";""
"103";"19 студзеня 2026";"2026";"Аб сустрэчы Пасла Беларусі Д.Дзеравінскага з Міністрам замежных спраў Венесуэлы";"https://www.mfa.gov.by/be/press/news_mfa/a397219ab0faeb94.html";"";"";""
"104";"16 студзеня 2026";"2026";"Аб уручэнні Паслом Беларусі Д.Красоўскім даверчых лістоў Прэзідэнту Эфіопіі";"https://www.mfa.gov.by/be/press/news_mfa/a622f859eb4b6379.html";"";"";""
"105";"15 студзеня 2026";"2026";"Заява Пастаяннага прадстаўніка Беларусі пры АБСЕ А.Дапкюнаса на пасяджэнні Пастаяннага савета АБСЕ ў адказ на выступ старшыні АБСЕ, кіраўніка Федэральнага дэпартамента замежных спраў Швейцарыі (15 студзеня 2026 г., г.Вена)";"https://www.mfa.gov.by/be/press/news_mfa/bffdcd73698b752a.html";"";"";""
"106";"15 студзеня 2026";"2026";"Аб сустрэчы Пасла Беларусі А.Чарвякова з памочнікам Міністра замежных спраў Кітая";"https://www.mfa.gov.by/be/press/news_mfa/bd7434b61583054e.html";"";"";""
"107";"14 студзеня 2026";"2026";"Аб удзеле Міністра замежных спраў Беларусі М.Рыжанкова ў агульнарэспубліканскай дабрачыннай акцыі &laquo;Ад усёй душы&raquo;";"https://www.mfa.gov.by/be/press/news_mfa/fda31d116f193f19.html";"";"";""
"108";"14 студзеня 2026";"2026";"Аб сустрэчы Пасла Беларусі Я.Сабалеўскага з намеснікам Міністра замежных спраў Егіпта";"https://www.mfa.gov.by/be/press/news_mfa/acc93ad4f0818c30.html";"";"";""
"109";"14 студзеня 2026";"2026";"Аб уручэнні Паслом Беларусі Д.Красоўскім копій даверчых лістоў у МЗС Эфіопіі";"https://www.mfa.gov.by/be/press/news_mfa/fd69717dce71c414.html";"";"";""
"110";"13 студзеня 2026";"2026";"Заява МЗС Беларусі ў сувязі з абстаноўкай у Іране";"https://www.mfa.gov.by/be/press/news_mfa/a491ca6498e2efeb.html";"";"";""
"111";"13 студзеня 2026";"2026";"Аб тэлефоннай размове Міністра замежных спраў Беларусі М.Рыжанкова з Міністрам замежных спраў Расіі";"https://www.mfa.gov.by/be/press/news_mfa/fd35861c110bcff7.html";"";"";""
